ra,dec
0.465037,-0.409930
1.438638,-0.057049
0.620610,-0.468278
1.527824,-0.610523
1.260466,-0.842327
1.263406,-0.894807
0.497465,-0.410931
0.826013,-0.090457
0.807000,-0.837893
2.473549,-0.056854
0.248757,-0.820763
0.493396,-0.456435
0.762729,-0.203392
0.807725,-0.325744
1.105698,-0.420818
0.921847,-0.144937
1.105940,-0.405172
1.110331,-0.319589
0.804462,-0.329484
1.398314,-0.893841
1.394205,-0.749881
0.071593,-0.412821
359.918638,-0.348228
1.400087,-0.859791
1.857782,-0.855325
0.584960,-0.966223
0.741781,-0.804007
1.288624,-0.660537
1.687748,-0.490812
359.008644,-0.212711
1.691373,-0.542206
1.580877,-0.843146
1.902940,-0.814474
1.900603,-0.808468
359.918396,-0.143195
359.631339,-0.646701
1.925055,-0.199289
1.928358,-0.137260
1.586758,-0.898234
1.585147,-0.747472
1.893393,-0.617372
0.957255,-0.618667
1.103040,-0.689291
2.345811,-0.600576
2.075754,-0.079570
2.073417,-0.099806
2.363455,-0.178476
1.276055,-0.675112
1.417247,-0.663263
359.245025,-0.378161
359.403942,-0.426519
